percept,see,hear,feel,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,cEXT
2.94,1.37,0.72,0.59,180,14861.6,93.29,0.03,15661,0.49,0.1,n
3.3,2.16,0.76,0.38,251,30061.5,96.58,0.02,30616,0.49,0.11,y
4.31,1.44,1.12,1.28,115,5992.5,93.04,0.03,6390,0.5,0.02,n
6.51,1.63,0.89,3.4,676,222411,97.77,0.01,225707,0.5,0.06,y
3.02,1.57,0.47,0.76,112,5856.21,95.92,0.04,5968,0.49,0.09,y
0.65,0,0.65,0,431,90115.4,97.7,0.02,91202,0.49,0.08,n
3.56,1.53,0.41,1.73,855,349689,96.01,0.02,358852,0.49,0.18,y
2.32,0.81,0.38,0.86,694,234370,97.74,0.01,237664,0.5,0.07,y
2.81,1.17,0.84,0.5,188,16902.2,97.19,0.02,17179,0.49,0.05,n
0,0,0,0,822,325950,96.83,0.01,333695,0.5,0.07,y
2.08,0.85,0.23,1,689,233003,98.59,0.01,235127,0.5,0.03,n
3.37,1.12,0.75,1.31,177,14210.2,92.27,0.05,14795,0.48,0.27,n
3.21,1.92,0.73,0.43,789,303058,97.74,0.01,307565,0.5,0.07,n
1.29,0.7,0.1,0.5,562,146858,93.49,0.02,155268,0.49,0.06,n
3.04,1.69,1.01,0,804,312739,97.12,0.01,321175,0.5,0.01,y
4.47,1.23,2.37,0.61,493,115837,95.9,0.02,118848,0.49,0.12,n
1.05,0,1.05,0,654,207792,97.61,0.01,210797,0.5,0.08,y
2.22,1.33,0,0.67,845,350408,98.5,0.01,353642,0.5,0.05,y
2.52,1.89,0.16,0.32,714,249452,98.28,0.01,251861,0.5,0.05,y
3.42,2.74,0,0.68,549,141358,94.32,0.02,146775,0.49,0.18,n
4.35,0,0,0,1560,1200910,98.88,0,1213740,0.5,0,n
0.99,0,0.99,0,278,36276,94.9,0.03,37357,0.49,0.16,y
8.11,0,5.41,0,223,21241,86.59,0.06,23383,0.48,0.31,n
0.77,0.77,0,0,298,41492.8,94.4,0.03,42968,0.49,0.14,y
2.44,0,2.44,0,298,42048.1,95.66,0.03,43144,0.49,0.12,y
3,2.5,0,0,686,223635,95.46,0.02,230361,0.49,0.16,n
2.55,1.62,0.6,0.26,631,192351,97.08,0.02,195496,0.49,0.14,y
5.02,2.09,2.09,0.42,1091,584445,98.47,0.01,590203,0.5,0.05,y
0.9,0,0.45,0.45,622,188741,98.04,0.01,190791,0.5,0.11,y
2.91,1.62,0.32,0.65,267,33049.5,93.77,0.03,34304,0.49,0.2,n
2.64,2.08,0,0.19,1151,650745,98.5,0.01,656894,0.5,0.06,y
1.64,0,0,1.09,313,45656,94.11,0.03,47527,0.49,0.13,n
1.78,1.04,0.12,0.5,965,453685,97.74,0.01,460223,0.5,0.08,y
1.4,0.7,0.47,0.23,671,216520,96.61,0.02,220974,0.49,0.17,n
2.81,0.28,1.4,0.84,241,28030.7,97.74,0.02,28314,0.49,0.07,y
1.5,0.94,0.19,0.38,159,10831.2,87.33,0.04,12050,0.49,0.1,n
0,0,0,0,907,404895,98.76,0.01,407823,0.5,0.04,y
1.44,0.86,0.29,0.29,459,102508,97.95,0.01,103590,0.49,0.08,n
4.76,0,2.38,1.19,72,2015.24,81.1,0.12,2262,0.46,0.38,n
3.49,2.09,0,1.4,91,3763.98,93.98,0.05,3899,0.49,0.09,n
0,0,0,0,512,127388,97.76,0.01,129045,0.5,0.08,n
0.53,0,0,0.53,144,6219.2,61.25,0.15,8791,0.43,0.48,n
2.44,1.05,0.87,0.52,126,7710.5,99.49,0.02,7729,0.5,0.01,n
2.04,0,0,2.04,414,84404.8,99.21,0.01,84584,0.5,0.04,n
3.37,2.11,0.22,0.63,89,3036.16,79.31,0.12,3452,0.45,0.43,n
4.26,2.13,0,2.13,82,2956.54,91.25,0.09,3036,0.47,0.38,n
2.8,0.89,0.58,1.06,169,12774.1,91.06,0.05,13457,0.48,0.28,n
2.63,1.07,0.78,0.58,41,762.5,97.76,0.07,765,0.49,0.06,y
2.65,0.53,0.88,1.23,440,94264.3,98.05,0.01,95323,0.5,0.05,n
4.35,0,0,0,77,2816.33,98.82,0.03,2824,0.5,0.03,n
3.14,1.26,1.42,0.47,24,225,88.93,0.13,241,0.48,0.12,n
2.22,0,2.22,0,565,156458,98.55,0.01,157750,0.5,0.03,n
1.54,1.1,0.44,0,159,10399.2,83.84,0.08,11611,0.47,0.43,n
1.9,1.16,0.17,0.25,775,289468,96.76,0.01,296135,0.49,0.07,y
2.94,2.21,0.74,0,379,66420.9,93.22,0.03,69191,0.49,0.27,n
1.52,0,0.25,1.02,826,338268,99.52,0,339027,0.5,0.01,y
2.82,1.64,0.47,0.23,175,14199.5,94.34,0.04,14654,0.49,0.17,y
3.86,1.19,1.48,0.89,486,115531,98.43,0.01,116816,0.5,0.03,n
2.7,1.5,0.6,0.6,302,43566.4,96.49,0.02,44428,0.49,0.1,y
0.72,0.24,0.24,0.24,322,47166.9,91.84,0.02,50780,0.49,0.04,n
3.14,1.23,0.75,1.09,436,90494.3,95.87,0.02,92933,0.49,0.1,n
2.06,1.03,0,0,127,7633,96.93,0.03,7743,0.49,0.08,n
7.69,7.69,0,0,1098,593081,98.66,0.01,598066,0.5,0.04,n
2.25,0.81,0.9,0.45,313,48253.6,99.46,0.01,48356,0.5,0.01,n
0,0,0,0,457,100985,97.34,0.01,102634,0.49,0.06,n
3.39,1.59,0.6,0.4,139,9100.53,96.27,0.04,9251,0.49,0.11,n
1.55,0.78,0,0.39,95,4143.03,94.78,0.05,4239,0.48,0.16,n
0.93,0.47,0,0.47,243,27562,94.52,0.03,28498,0.49,0.15,n
2.6,1.7,0.68,0.23,1118,614830,98.64,0,622150,0.5,0.01,y
5.51,0.79,2.36,0.79,85,2972.73,85.28,0.1,3201,0.46,0.37,n
0,0,0,0,361,60937.4,94.3,0.03,63195,0.49,0.22,n
0.94,0,0.94,0,216,19345.4,84.09,0.06,21766,0.47,0.33,n
3.61,0.52,2.06,0.69,962,446252,96.74,0.01,456202,0.49,0.11,y
2.02,0,0,2.02,559,152219,97.95,0.01,153896,0.5,0.08,y
2.75,1.1,1.37,0.27,238,27449.6,98.15,0.01,27822,0.5,0.04,n
4.9,0,0.98,2.94,138,8926.11,95.81,0.04,9061,0.49,0.17,y
2.79,1.28,0.47,0.58,431,91298.5,98.98,0.01,91701,0.5,0.03,n
2.63,1.32,0.75,0.35,236,25651.9,93.3,0.03,26805,0.49,0.18,n
1.17,0.78,0,0.39,1071,565761,98.92,0.01,569584,0.5,0.03,y
0,0,0,0,187,16580.2,96.37,0.03,16845,0.49,0.12,y
4.03,1.61,0.6,1.81,477,111206,98.37,0.01,112134,0.5,0.06,y
2.04,1.02,1.02,0,361,58695.3,90.83,0.02,63826,0.49,0.05,n
3.55,2.03,1.02,0,497,116529,94.92,0.02,120779,0.49,0.13,n
6.9,6.9,0,0,99,4243.83,89.29,0.04,4660,0.49,0.06,n
4.32,2.16,1.54,0.31,831,338383,98.36,0.01,341154,0.5,0.07,n
2.87,1.02,0.83,0.98,278,27967.7,73.16,0.04,36786,0.48,0.21,n
0,0,0,0,374,64849.8,93.47,0.03,67740,0.49,0.19,n
3.45,3.45,0,0,99,4201.5,88.4,0.03,4687,0.49,0.04,n
2.51,1.51,0.67,0.33,46,967.5,97.73,0.06,976,0.49,0.04,y
2,1.6,0,0,405,78205,96.07,0.01,81253,0.5,0.01,y
0,0,0,0,381,68247.6,94.78,0.03,70505,0.49,0.16,n
2.44,2.44,0,0,56,1205.1,81.15,0.12,1362,0.46,0.31,n
4.05,1.62,0.81,1.08,367,46193.6,69.16,0.06,62940,0.47,0.33,n
2.7,0,0,2.7,139,8137.73,86.09,0.08,8817,0.47,0.39,n
3.17,0.35,1.18,1.41,584,164031,96.69,0.02,167499,0.49,0.12,y
0.73,0,0,0.73,1043,532379,98.16,0.01,538780,0.5,0.06,y
4.67,2.8,0.93,0,457,99059.2,95.49,0.03,101166,0.49,0.26,n
1.33,0.24,0.24,0.84,695,238038,98.99,0.01,239033,0.5,0.05,n
3.26,0,2.17,0,255,30917.9,96.22,0.03,31439,0.49,0.19,n
3.34,1.09,0.5,1.42,40,732.5,98.85,0.06,734,0.5,0.03,y
2.46,1.05,0.7,0.7,277,36015.4,94.9,0.03,36920,0.49,0.21,n
0,0,0,0,378,67968.2,95.9,0.02,69841,0.49,0.09,y
1.45,0,0.97,0.48,167,13037.8,95.2,0.04,13281,0.48,0.21,n
1.69,1.13,0,0.56,197,15938.2,83.4,0.07,17908,0.47,0.36,n
0,0,0,0,119,5588.16,80.95,0.1,6340,0.46,0.37,n
3.84,1.57,1.05,0.87,262,32959,97.14,0.02,33381,0.49,0.13,n
7.69,0,7.69,0,563,153582,97.43,0.01,156035,0.49,0.08,y
3.01,0,2.26,0.75,266,31169.8,89.11,0.03,34191,0.49,0.11,n
1.14,0,0,1.14,1267,767221,95.81,0,798934,0.5,0.01,y
2.14,0.58,0.39,0.97,318,49024.8,97.88,0.02,49584,0.49,0.06,y
2.52,1.31,0,1.09,130,7666.67,92.86,0.05,7938,0.48,0.22,n
3.04,1.52,0.76,0.38,288,39168,95.44,0.02,40303,0.49,0.13,y
1.13,0.68,0.11,0.34,322,49274,95.94,0.02,50466,0.49,0.12,y
1.61,1.61,0,0,595,172875,98.16,0.01,174859,0.5,0.05,y
0,0,0,0,294,39642.4,92.67,0.04,41550,0.49,0.21,n
4.38,2.5,0,1.25,333,53583.4,97.52,0.02,54306,0.49,0.07,n
0,0,0,0,194,18123.1,97.81,0.02,18313,0.49,0.06,n
3.62,2.26,0.9,0.45,174,13616.8,91.52,0.05,14360,0.48,0.19,y
2.6,2.6,0,0,176,14764.9,96.98,0.03,14973,0.49,0.09,n
5.04,2.88,0.72,1.44,1323,871606,99.82,0,872305,0.5,0.01,y
3.36,1.34,0,0,38,648.17,97.32,0.07,653,0.49,0.06,n
1.32,1.32,0,0,947,442522,99,0.01,444948,0.5,0.03,y
2.69,1.34,0.41,0.76,175,14120.1,93.82,0.04,14554,0.48,0.22,n
0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
8.33,0,0,8.33,134,8096.6,92.24,0.07,8311,0.47,0.35,n
0,0,0,0,622,184474,95.83,0.02,189353,0.49,0.21,y
2.3,2.3,0,0,257,24340.7,74.57,0.05,31404,0.48,0.16,n
5.02,1.61,2.01,1.41,413,82803.9,97.8,0.02,83757,0.49,0.07,n
2.94,0,0,1.47,1226,729549,97.31,0,749015,0.5,0,y
0,0,0,0,141,8399.66,86.33,0.07,9196,0.47,0.31,n
0,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,n
0.92,0.23,0.46,0,84,3223.35,94.72,0.06,3287,0.48,0.15,n
1.98,0.57,0.57,0.85,446,95134.1,96.3,0.02,97416,0.49,0.1,n
2.48,0.65,1.31,0.46,253,26645.7,84.25,0.07,29632,0.47,0.39,n
2.46,0.45,1.56,0.22,213,20225.1,90.43,0.07,21100,0.47,0.44,n
2.41,1.2,0,1.2,343,56515.9,96.92,0.02,57442,0.49,0.1,n
4,4,0,0,295,42927.7,99.67,0.01,42998,0.5,0.01,y
4.42,1.77,0.88,1.77,443,92762.5,95.18,0.02,95665,0.49,0.15,n
0,0,0,0,329,49454.7,92.22,0.03,52282,0.49,0.17,y
0,0,0,0,714,245021,96.53,0.02,250442,0.49,0.16,n
2.47,1.23,1.23,0,478,111885,98.55,0.01,113210,0.5,0.02,n
2.65,1.59,0,0.53,61,1761,99.49,0.04,1761,0.5,0.02,n
2.79,2.79,0,0,166,12689.4,93.79,0.04,13137,0.49,0.17,n
2.04,0,2.04,0,494,117689,97.04,0.01,119963,0.49,0.08,y
3.13,0.75,0.88,1,955,441841,97.2,0.01,450439,0.5,0.08,y
3.37,1.12,1.12,1.12,436,90799.3,96.19,0.02,92952,0.49,0.11,n
0,0,0,0,94,3706.68,86.65,0.09,3973,0.46,0.39,n
5.75,2.3,2.3,1.15,542,138053,94.51,0.01,145576,0.5,0.01,n
0,0,0,0,321,48543.8,95.11,0.03,49782,0.49,0.22,y
0,0,0,0,70,1969.99,83.97,0.1,2172,0.46,0.29,n
0,0,0,0,447,95181.3,95.92,0.02,97635,0.49,0.13,y
100,100,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,n
0,0,0,0,161,11667.8,91.73,0.05,12225,0.48,0.26,n
3.51,1.75,0.44,1.32,325,49975.1,95.51,0.03,51220,0.49,0.18,y
1.41,1.41,0,0,297,41728.8,95.58,0.03,42826,0.49,0.17,n
4.2,1.35,1.35,1.35,231,22856.8,86.79,0.06,24946,0.47,0.36,n
0,0,0,0,65,1696.85,84.17,0.1,1876,0.47,0.28,n
0,0,0,0,451,98153.1,97.16,0.02,99733,0.49,0.12,y
100,100,0,0,36,185.71,31.21,0.4,377,0.32,0.63,n
0,0,0,0,83,2935.76,88.4,0.08,3120,0.47,0.26,y
7.69,0,0,7.69,154,11424.5,98.25,0.02,11510,0.49,0.05,n
0,0,0,0,539,138337,95.77,0.02,142460,0.49,0.13,y
3.03,3.03,0,0,535,133010,93.46,0.02,139855,0.49,0.15,y
2.19,1.46,0,0.73,285,39451.6,98.17,0.02,39856,0.5,0.04,n
3.84,1.63,1.44,0.51,356,59578.9,94.82,0.03,61533,0.49,0.17,n
4.29,1.43,0.71,0.71,222,17150.1,70.55,0.09,22359,0.46,0.34,n
3.1,0,0.78,0.78,145,9755.34,94.75,0.04,10042,0.49,0.14,y
3.17,1.49,0.99,0.79,739,267574,98.39,0.01,270029,0.5,0.07,y
2.71,1.01,0.45,1.24,145,10258,99.63,0.02,10272,0.5,0.01,n
2.19,0.85,0.73,0.43,633,196606,98.6,0.01,198186,0.5,0.07,n
4.12,1.49,1.03,1.03,332,51211.9,93.77,0.03,53309,0.49,0.16,y
3.61,0.86,1.17,0.9,50,1146.83,97.52,0.06,1150,0.49,0.08,n
2.91,1.94,0,0.97,628,193156,98.42,0.01,194779,0.5,0.05,n
2.58,1.45,0.48,0.65,89,3755.17,98.1,0.03,3804,0.5,0.02,y
5.88,3.53,1.18,1.18,1225,743530,99.34,0,746216,0.5,0.02,n
1.2,0.72,0,0,731,264627,99.45,0.01,265324,0.5,0.02,n
3.18,1.45,1.04,0.48,899,396675,98.49,0.01,400536,0.5,0.03,y
1.96,1.18,0.13,0.59,376,68180.7,97.23,0.02,69300,0.49,0.08,y
1.2,0.73,0.13,0.27,102,4359.8,86.33,0.09,4668,0.46,0.36,y
1.43,1.43,0,0,322,50065.9,97.48,0.02,50696,0.49,0.1,n
1.95,0.97,0.49,0.49,385,62433.4,84.9,0.02,72697,0.49,0.04,y
2.87,2.15,0.36,0.36,644,203058,98.38,0.01,204908,0.5,0.05,y
1.54,0.51,0.51,0.51,457,100045,96.44,0.02,102101,0.49,0.16,y
2.79,1.27,0.26,0.96,254,30611.8,96.03,0.02,31359,0.49,0.09,y
2.92,1.46,0.56,0.82,307,42793.6,91.7,0.04,45225,0.48,0.23,n
4.71,2.77,0.55,0.97,294,40662.7,95.06,0.03,41888,0.49,0.14,y
2.53,1.01,0.41,0.89,289,39253.6,94.98,0.03,40499,0.49,0.13,y
3.69,1.59,1.34,0.75,369,65119.5,96.43,0.02,66518,0.49,0.09,y
1.91,0,1.27,0.64,1264,780799,97.97,0.01,792237,0.5,0.06,y
4.28,1.58,1.24,0.79,57,1509.5,98.02,0.05,1522,0.49,0.03,y
3.19,0.96,0.32,1.92,290,40289.5,96.81,0.02,41037,0.49,0.08,y
2.82,1.72,0.63,0.47,198,17832.2,92.37,0.05,18495,0.48,0.29,n
1.7,0.92,0.39,0.33,171,12680.2,88.27,0.06,13671,0.48,0.28,n
3.26,1.09,1.45,0.72,326,50112.9,95.18,0.02,51706,0.49,0.11,y
2.18,1.04,0.55,0.55,241,27321.2,95.26,0.03,28150,0.49,0.11,n
11.76,0,0,5.88,177,14043.1,91.19,0.06,14643,0.48,0.36,n
1.81,0.73,0.36,0.36,464,103794,97.05,0.02,105666,0.49,0.08,y
1.66,0.97,0.28,0.28,265,33752.4,97.22,0.02,34425,0.5,0.03,n
2.09,0.77,0.46,0.7,102,4216.48,83.49,0.09,4694,0.46,0.32,n
0,0,0,0,802,313912,97.98,0.01,318280,0.5,0.04,n
2.73,0.98,0.78,0.78,122,6529.3,89.94,0.07,6893,0.47,0.26,n
1.91,1.11,0.1,0.5,216,21645,94.09,0.03,22428,0.49,0.15,y
1.2,0.8,0,0.2,315,48289.7,98.27,0.02,48683,0.5,0.06,y
3.68,1.87,0.41,1.24,1596,1251780,98.47,0.01,1263790,0.5,0.07,n
1.96,1.57,0,0.39,245,28355.6,95.65,0.03,29130,0.49,0.08,n
4.72,2.5,0.28,1.67,146,9777.14,93.65,0.05,10084,0.48,0.19,n
2.13,2.13,0,0,731,261379,98.23,0.01,264141,0.5,0.06,n
3.29,1.71,0.33,0.85,317,44228.9,88.87,0.03,48360,0.49,0.17,y
2.07,0.64,0.54,0.77,209,20582.2,95.61,0.03,21092,0.49,0.11,n
2.86,1.54,0.81,0.44,58,1054.67,66.08,0.08,1516,0.47,0.12,y
2.19,1,0.4,0.8,270,35195.6,97.64,0.02,35659,0.49,0.06,n
1.93,1.23,0.53,0,75,2650.67,98.14,0.04,2660,0.49,0.05,n
2.45,1,0.56,0.45,135,8479.96,95.16,0.04,8711,0.49,0.12,n
2.85,0.9,0.9,0.6,335,54004.8,97.11,0.02,54838,0.49,0.09,n
3.01,1.88,0.75,0.38,312,44661,92.65,0.05,46150,0.48,0.38,n
2.81,1.73,0.65,0.22,306,44142.5,95.22,0.03,45388,0.49,0.16,n
2.21,0.83,0.74,0.55,1460,1056550,99.34,0,1060480,0.5,0.03,n
3.73,1.36,0.97,1.01,300,43159,96.88,0.02,43968,0.49,0.07,n
2,0.83,0.9,0.21,775,290973,97.27,0.01,296174,0.5,0.08,y
0,0,0,0,381,70739.6,98.24,0.01,71416,0.5,0.04,n
2.42,0,0.97,1.45,573,154659,94.7,0.02,160407,0.49,0.18,n
5.12,2.77,0.75,1.49,332,51657.2,94.58,0.03,53320,0.49,0.2,y
5.38,3.08,0.77,0.77,950,438219,97.42,0.01,445454,0.5,0.09,y
2.04,0.73,0.58,0.58,354,59885.4,96.39,0.02,61142,0.49,0.1,n
2.48,1.35,0.41,0.5,463,103722,97.4,0.02,105113,0.49,0.13,n
3.42,1.1,0.61,1.59,256,30788.5,95.07,0.03,31646,0.49,0.16,n
2.1,1.8,0,0,1350,895790,98.52,0.01,904309,0.5,0.05,y
2.63,1.1,0.66,0.77,196,15523.1,82.07,0.06,17982,0.48,0.25,n
1.13,0.28,0,0.28,258,29260.8,88.95,0.07,30879,0.47,0.46,n
2.72,1.81,0.36,0.54,606,177453,97.12,0.01,180788,0.49,0.07,y
1.93,1.45,0.24,0.24,134,8649.25,98.53,0.02,8697,0.5,0.03,n
1.69,0.56,0.38,0.56,77,2830.5,99.32,0.03,2837,0.5,0.01,n
0.89,0.44,0,0.44,959,441049,96.21,0.01,453251,0.49,0.1,y
2.07,1.04,0.3,0.59,475,108866,97.11,0.02,110588,0.49,0.13,y
3.48,1.22,0.94,0.75,699,236036,97.03,0.01,240885,0.5,0.09,y
1.88,0.81,0,0.81,900,397632,98.51,0.01,400980,0.5,0.06,y
1.53,0.26,0.51,0.64,721,248889,96.16,0.02,255465,0.49,0.12,n
1.44,0.72,0,0.72,239,24116.1,85.51,0.05,26937,0.48,0.27,n
1.74,0.51,0.64,0.51,29,334.42,88.47,0.14,348,0.46,0.26,y
1.41,0.76,0.43,0.22,160,12180.8,96.97,0.03,12382,0.49,0.06,n
0.74,0,0.74,0,289,38381.5,92.87,0.03,40329,0.49,0.15,y
1.82,1.82,0,0,222,21894.7,90.06,0.04,23462,0.48,0.21,n
4.46,1.79,2.68,0,332,51669.8,94.61,0.03,53479,0.49,0.18,n
3.59,1.8,0.65,0.98,254,29724.9,93.25,0.04,30978,0.49,0.18,y
