ppron,ipron,article,prep,auxverb,adverb,conj,negate,verb,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,cOPN
4.7,6.71,6.04,12.75,9.4,4.03,4.7,0,20.13,38,648.17,97.32,0.07,653,0.49,0.06,y
18.42,5.26,2.63,10.53,13.16,7.89,2.63,3.95,22.37,947,442522,99,0.01,444948,0.5,0.03,y
9.11,4.03,6.89,12.96,8.76,6.36,5.6,2.1,16.11,175,14120.1,93.82,0.04,14554,0.48,0.22,n
0,0,0,0,0,0,0,0,0,274,36363.3,97.94,0.02,36794,0.5,0.04,n
0,16.67,0,8.33,16.67,16.67,0,8.33,16.67,134,8096.6,92.24,0.07,8311,0.47,0.35,n
0,0,2.56,5.13,0,0,0,0,0,622,184474,95.83,0.02,189353,0.49,0.21,n
12.64,1.72,7.47,14.94,3.45,5.17,6.9,0,11.49,257,24340.7,74.57,0.05,31404,0.48,0.16,y
11.45,5.82,3.21,8.03,8.84,6.63,4.42,1.81,13.86,413,82803.9,97.8,0.02,83757,0.49,0.07,y
5.88,4.41,2.94,11.76,2.94,8.82,4.41,1.47,14.71,1226,729549,97.31,0,749015,0.5,0,n
8.75,3.75,2.5,13.75,10,8.75,5,2.5,22.5,141,8399.66,86.33,0.07,9196,0.47,0.31,n
0,0,0,33.33,0,33.33,0,0,0,415,84621.1,98.98,0.01,84969,0.5,0.04,y
10.6,3.23,5.07,12.9,8.76,3.69,6.22,1.38,15.67,84,3223.35,94.72,0.06,3287,0.48,0.15,y
12.46,7.08,5.95,10.48,9.07,5.1,5.95,2.83,19.55,446,95134.1,96.3,0.02,97416,0.49,0.1,y
10.33,4.58,6.08,10.26,10.33,5.49,5.42,2.16,17.84,253,26645.7,84.25,0.07,29632,0.47,0.39,y
4.46,4.02,6.47,12.05,8.04,5.36,3.79,1.12,13.17,213,20225.1,90.43,0.07,21100,0.47,0.44,n
8.43,6.02,6.02,9.64,8.43,8.43,6.02,4.82,15.66,343,56515.9,96.92,0.02,57442,0.49,0.1,y
16,0,8,4,12,0,0,0,16,295,42927.7,99.67,0.01,42998,0.5,0.01,y
0.88,3.54,7.08,10.62,10.62,3.54,7.96,0.88,15.93,443,92762.5,95.18,0.02,95665,0.49,0.15,y
7.14,0,14.29,0,0,7.14,0,0,14.29,329,49454.7,92.22,0.03,52282,0.49,0.17,n
0,0,5.26,15.79,5.26,10.53,15.79,5.26,5.26,714,245021,96.53,0.02,250442,0.49,0.16,y
11.11,7.41,4.94,7.41,12.35,3.7,6.17,0,17.28,478,111885,98.55,0.01,113210,0.5,0.02,y
7.94,4.76,5.82,12.17,5.29,5.82,4.23,2.65,12.17,61,1761,99.49,0.04,1761,0.5,0.02,y
10.06,6.7,3.91,14.53,7.26,4.47,7.26,1.68,15.64,166,12689.4,93.79,0.04,13137,0.49,0.17,y
4.08,6.12,2.04,14.29,6.12,8.16,2.04,2.04,12.24,494,117689,97.04,0.01,119963,0.49,0.08,y
5.51,5.01,7.26,12.89,11.01,5.26,6.01,1.75,23.15,955,441841,97.2,0.01,450439,0.5,0.08,n
11.24,3.37,2.25,11.24,14.61,3.37,6.74,4.49,20.22,436,90799.3,96.19,0.02,92952,0.49,0.11,y
0,0,16.67,0,0,0,0,0,16.67,94,3706.68,86.65,0.09,3973,0.46,0.39,y
6.9,10.34,5.75,13.79,9.2,1.15,6.9,1.15,13.79,542,138053,94.51,0.01,145576,0.5,0.01,n
0,0,0,0,0,0,0,0,0,321,48543.8,95.11,0.03,49782,0.49,0.22,y
11.11,0,0,22.22,0,0,0,0,11.11,70,1969.99,83.97,0.1,2172,0.46,0.29,y
10.71,0,3.57,14.29,14.29,0,0,0,25,447,95181.3,95.92,0.02,97635,0.49,0.13,y
0,0,0,0,0,0,0,0,0,149,10140.3,93.22,0.04,10581,0.49,0.11,y
8.33,8.33,8.33,8.33,0,8.33,8.33,0,16.67,161,11667.8,91.73,0.05,12225,0.48,0.26,y
10.53,7.02,5.26,10.96,9.65,10.53,4.39,3.51,20.18,325,49975.1,95.51,0.03,51220,0.49,0.18,y
5.63,7.04,2.82,14.08,1.41,7.04,8.45,1.41,14.08,297,41728.8,95.58,0.03,42826,0.49,0.17,y
10.6,5.27,4.91,11.74,9.61,6.26,6.05,3.2,19,231,22856.8,86.79,0.06,24946,0.47,0.36,y
8.51,2.13,4.26,6.38,8.51,10.64,8.51,2.13,17.02,65,1696.85,84.17,0.1,1876,0.47,0.28,y
20,10,0,0,0,0,0,0,10,451,98153.1,97.16,0.02,99733,0.49,0.12,n
0,0,0,0,0,0,0,0,0,36,185.71,31.21,0.4,377,0.32,0.63,y
9.09,9.09,0,18.18,0,9.09,18.18,0,9.09,83,2935.76,88.4,0.08,3120,0.47,0.26,y
0,7.69,7.69,7.69,23.08,0,0,0,30.77,154,11424.5,98.25,0.02,11510,0.49,0.05,y
0,0,0,0,0,0,0,0,25,539,138337,95.77,0.02,142460,0.49,0.13,y
6.06,0,6.06,6.06,12.12,6.06,9.09,3.03,18.18,535,133010,93.46,0.02,139855,0.49,0.15,y
12.41,2.55,4.38,8.03,8.76,5.11,2.19,1.46,17.88,285,39451.6,98.17,0.02,39856,0.5,0.04,y
6.87,4.96,5.91,11.41,8.98,5.95,5.4,1.63,18.48,356,59578.9,94.82,0.03,61533,0.49,0.17,n
5.71,2.86,6.43,10,7.14,5,3.57,0.71,19.29,222,17150.1,70.55,0.09,22359,0.46,0.34,y
13.18,3.49,3.88,5.81,8.53,4.65,2.71,1.55,19.38,145,9755.34,94.75,0.04,10042,0.49,0.14,y
7.72,3.56,5.45,14.46,8.71,5.25,3.76,1.98,16.34,739,267574,98.39,0.01,270029,0.5,0.07,y
5.41,3.49,5.52,13.98,6.88,4.85,5.19,1.13,17.14,145,10258,99.63,0.02,10272,0.5,0.01,y
5.84,4.93,6.33,11.99,8.28,7.18,4.87,2.62,17.89,633,196606,98.6,0.01,198186,0.5,0.07,y
9.28,3.44,7.67,12.71,7.67,3.89,5.61,2.41,14.89,332,51211.9,93.77,0.03,53309,0.49,0.16,y
7.67,3.65,5.82,12.67,9.16,4.42,4.96,1.71,16.19,50,1146.83,97.52,0.06,1150,0.49,0.08,y
8.74,4.37,8.25,12.14,6.31,6.8,3.88,2.43,14.56,628,193156,98.42,0.01,194779,0.5,0.05,n
5,3.23,4.52,10.97,6.29,5.32,2.58,1.29,15.81,89,3755.17,98.1,0.03,3804,0.5,0.02,y
15.29,2.35,3.53,5.88,11.76,5.88,7.06,2.35,20,1225,743530,99.34,0,746216,0.5,0.02,y
2.16,0.96,8.39,17.03,8.39,1.92,5.28,0,12.95,731,264627,99.45,0.01,265324,0.5,0.02,y
6.08,3.59,6.49,13.6,9.19,5.18,3.66,0.69,17.06,899,396675,98.49,0.01,400536,0.5,0.03,y
6.41,4.64,5.56,8.83,8.04,2.42,4.71,2.35,13.73,376,68180.7,97.23,0.02,69300,0.49,0.08,y
6.84,3.25,5.84,13.94,6.84,4.32,4.38,1.06,15.21,102,4359.8,86.33,0.09,4668,0.46,0.36,y
2.86,4.29,8.57,14.29,4.29,7.14,7.14,0,10,322,50065.9,97.48,0.02,50696,0.49,0.1,y
6.08,0.97,8.52,10.71,10.46,3.65,4.62,3.65,18.98,385,62433.4,84.9,0.02,72697,0.49,0.04,y
13.26,4.66,5.73,13.26,6.81,9.32,6.09,1.08,16.49,644,203058,98.38,0.01,204908,0.5,0.05,y
7.02,6.16,5.48,14.21,11.3,3.6,6.16,1.2,20.03,457,100045,96.44,0.02,102101,0.49,0.16,y
15.71,5.5,3.88,12.26,10.25,5.28,4.76,2.09,18.46,254,30611.8,96.03,0.02,31359,0.49,0.09,n
9.95,5.31,5.99,12.54,8.8,5.57,5.99,1.8,18.25,307,42793.6,91.7,0.04,45225,0.48,0.23,y
3.32,4.43,6.65,13.71,6.23,3.32,3.46,1.66,13.99,294,40662.7,95.06,0.03,41888,0.49,0.14,y
5.77,3.58,8.46,13.41,6.78,4.02,4.36,1.08,13.11,289,39253.6,94.98,0.03,40499,0.49,0.13,y
9.21,3.77,7.62,13.15,7.04,4.52,5.28,1.42,17,369,65119.5,96.43,0.02,66518,0.49,0.09,n
5.73,7.64,3.82,12.74,7.01,5.73,3.82,2.55,18.47,1264,780799,97.97,0.01,792237,0.5,0.06,y
1.8,2.25,7.55,18.02,4.28,3.04,5.74,0.23,12.39,57,1509.5,98.02,0.05,1522,0.49,0.03,y
6.39,3.19,5.75,14.7,13.42,5.11,3.51,1.6,24.28,290,40289.5,96.81,0.02,41037,0.49,0.08,n
4.7,3.84,7.45,14.81,7.68,4.15,4.23,0.63,15.28,198,17832.2,92.37,0.05,18495,0.48,0.29,n
5.11,3.93,9.04,13.11,8.78,4.06,4.39,1.51,16.45,171,12680.2,88.27,0.06,13671,0.48,0.28,y
7.61,2.9,6.52,14.86,9.06,7.97,5.8,1.81,15.22,326,50112.9,95.18,0.02,51706,0.49,0.11,y
8.14,3.93,4.48,11.2,8.52,4.59,4.26,2.08,18.3,241,27321.2,95.26,0.03,28150,0.49,0.11,y
0,5.88,5.88,5.88,0,0,0,0,5.88,177,14043.1,91.19,0.06,14643,0.48,0.36,n
6.53,3.99,5.08,11.98,9.62,4.72,4.54,1.63,18.87,464,103794,97.05,0.02,105666,0.49,0.08,y
6.93,3.32,4.16,11.08,10.25,6.09,5.68,2.35,18.28,265,33752.4,97.22,0.02,34425,0.5,0.03,y
5.65,2.71,3.64,7.51,4.65,3.25,3.02,1.01,9.91,102,4216.48,83.49,0.09,4694,0.46,0.32,n
4.82,5.26,6.14,14.04,8.77,3.51,3.51,0.88,19.74,802,313912,97.98,0.01,318280,0.5,0.04,y
4.49,3.12,7.42,14.06,6.25,6.05,5.66,2.15,10.74,122,6529.3,89.94,0.07,6893,0.47,0.26,y
8.95,5.84,8.05,11.07,9.26,3.52,5.84,2.11,15.49,216,21645,94.09,0.03,22428,0.49,0.15,y
4.59,4.99,2.59,10.18,8.18,7.78,3.59,1.6,12.97,315,48289.7,98.27,0.02,48683,0.5,0.06,y
5.55,4.46,6.02,13.59,9.65,5.81,5.55,1.24,19.45,1596,1251780,98.47,0.01,1263790,0.5,0.07,y
5.49,2.75,3.53,13.33,5.88,4.71,2.35,1.57,14.51,245,28355.6,95.65,0.03,29130,0.49,0.08,n
6.11,4.17,6.11,13.06,8.61,5.56,4.72,2.22,18.61,146,9777.14,93.65,0.05,10084,0.48,0.19,n
2.13,8.51,8.51,10.64,10.64,8.51,2.13,2.13,14.89,731,261379,98.23,0.01,264141,0.5,0.06,n
9.66,3.48,6.18,10.51,7.88,5.06,4.86,1.38,16.1,317,44228.9,88.87,0.03,48360,0.49,0.17,y
6.99,3.06,4.66,12.67,7.28,4.4,6.57,1.02,17.01,209,20582.2,95.61,0.03,21092,0.49,0.11,y
4.92,3.6,5.36,13.44,10.65,5.29,6.09,1.47,19.97,58,1054.67,66.08,0.08,1516,0.47,0.12,y
6.97,2.79,5.98,15.34,8.96,4.58,4.78,1.99,16.73,270,35195.6,97.64,0.02,35659,0.49,0.06,y
5.08,2.1,6.83,11.91,6.3,4.55,3.15,0.88,14.01,75,2650.67,98.14,0.04,2660,0.49,0.05,n
6.35,5.57,6.69,10.26,8.25,4.01,6.47,2.12,14.94,135,8479.96,95.16,0.04,8711,0.49,0.12,y
8.86,4.2,8.11,12.01,8.71,3.3,3.3,0.75,17.57,335,54004.8,97.11,0.02,54838,0.49,0.09,n
3.76,5.26,5.64,11.28,12.78,2.63,3.01,2.26,22.93,312,44661,92.65,0.05,46150,0.48,0.38,n
9.29,5.4,5.18,11.88,11.02,2.81,5.83,2.81,18.79,306,44142.5,95.22,0.03,45388,0.49,0.16,y
5.42,2.57,6.16,14.43,10.57,3.49,4.78,1.01,17.56,1460,1056550,99.34,0,1060480,0.5,0.03,y
6.54,4.92,7.38,14.58,8.04,5.62,5.14,1.89,16.78,300,43159,96.88,0.02,43968,0.49,0.07,n
5.65,3.24,5.37,12.74,9.37,4.68,5.23,2,19.42,775,290973,97.27,0.01,296174,0.5,0.08,y
4.48,3.73,5.97,11.94,5.22,8.21,4.48,0.75,11.94,381,70739.6,98.24,0.01,71416,0.5,0.04,y
3.86,6.28,3.86,12.08,11.59,3.86,5.31,1.45,21.26,573,154659,94.7,0.02,160407,0.49,0.18,n
3.41,3.3,4.26,14.61,9.7,5.54,3.94,1.39,19.51,332,51657.2,94.58,0.03,53320,0.49,0.2,y
6.92,3.08,4.62,11.54,10.77,5.38,4.62,0.77,20.77,950,438219,97.42,0.01,445454,0.5,0.09,y
6.12,4.96,6.71,12.24,9.91,5.69,3.35,1.9,19.24,354,59885.4,96.39,0.02,61142,0.49,0.1,y
7.84,4.37,6.4,11.62,9.23,4.95,4.5,1.67,18.92,463,103722,97.4,0.02,105113,0.49,0.13,y
15.16,5.62,5.38,11.98,9.41,5.01,6.97,2.32,18.95,256,30788.5,95.07,0.03,31646,0.49,0.16,y
3.59,2.1,4.19,16.17,7.78,5.99,3.89,1.2,13.77,1350,895790,98.52,0.01,904309,0.5,0.05,n
8.87,4.38,5.15,13.14,7.56,4.38,3.18,2.41,15.99,196,15523.1,82.07,0.06,17982,0.48,0.25,n
5.38,5.95,3.12,10.76,7.08,5.1,3.68,1.7,15.58,258,29260.8,88.95,0.07,30879,0.47,0.46,y
5.44,3.81,4.54,12.34,7.26,5.44,5.08,1.09,12.7,606,177453,97.12,0.01,180788,0.49,0.07,n
8.7,4.83,5.8,12.8,8.21,3.14,4.83,1.45,16.43,134,8649.25,98.53,0.02,8697,0.5,0.03,y
6.39,2.82,9.21,14.1,8.27,3.01,3.2,1.13,15.6,77,2830.5,99.32,0.03,2837,0.5,0.01,y
4,4.44,2.67,15.56,6.67,3.56,3.11,1.78,13.78,959,441049,96.21,0.01,453251,0.49,0.1,n
8.59,5.63,6.52,13.19,10.52,5.48,4.89,1.33,20.59,475,108866,97.11,0.02,110588,0.49,0.13,y
7.25,4.52,4.9,10.73,8.1,4.9,4.14,1.13,16.67,699,236036,97.03,0.01,240885,0.5,0.09,n
6.18,1.61,5.65,12.9,4.84,4.84,3.49,0.81,10.22,900,397632,98.51,0.01,400980,0.5,0.06,y
11.24,5.75,5.87,12.26,10.98,5.62,7.28,2.17,18.52,721,248889,96.16,0.02,255465,0.49,0.12,y
4.32,4.32,6.47,17.27,4.32,3.6,5.04,0.72,12.95,239,24116.1,85.51,0.05,26937,0.48,0.27,y
9.27,4.38,5.73,13.51,9.27,5.21,4.7,1.54,19.05,29,334.42,88.47,0.14,348,0.46,0.26,y
8.89,5.86,8.13,10.63,8.46,5.1,4.77,1.63,16.05,160,12180.8,96.97,0.03,12382,0.49,0.06,y
8.15,1.48,5.93,9.63,8.89,4.44,5.93,2.22,17.04,289,38381.5,92.87,0.03,40329,0.49,0.15,n
7.27,4.85,7.88,12.73,3.64,1.21,5.45,0.61,13.33,222,21894.7,90.06,0.04,23462,0.48,0.21,y
2.68,5.36,7.14,12.5,11.61,3.57,3.57,3.57,16.07,332,51669.8,94.61,0.03,53479,0.49,0.18,y
7.84,5.56,4.9,12.91,6.7,4.74,4.9,0.82,14.54,254,29724.9,93.25,0.04,30978,0.49,0.18,y
